"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\server\model\src\entities\sys_access_key.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"d:\mgr\server\model\src\entities\sys_domain.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"d:\mgr\server\model\src\entities\sys_endpoint.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"d:\mgr\server\model\src\entities\sys_login_log.rs", "Rust", 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"d:\mgr\server\model\src\entities\sys_menu.rs", "Rust", 44, 0, 0, 0, 0, 0, 0, 0, 1, 6, 51
"d:\mgr\server\model\src\entities\sys_operation_log.rs", "Rust", 31, 0, 0, 0, 0, 0, 0, 0, 1, 5, 37
"d:\mgr\server\model\src\entities\sys_organization.rs", "Rust", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"d:\mgr\server\model\src\entities\sys_role.rs", "Rust", 45, 0, 0, 0, 0, 0, 0, 0, 1, 8, 54
"d:\mgr\server\model\src\entities\sys_role_menu.rs", "Rust", 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"d:\mgr\server\model\src\entities\sys_tokens.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\mgr\server\model\src\entities\sys_user.rs", "Rust", 50, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"d:\mgr\server\model\src\entities\sys_user_role.rs", "Rust", 40, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"d:\mgr\server\model\src\lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\mgr\server\router\Cargo.toml", "TOML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
